x,y,z,label
-0.0176,-0.0215,0.9752,2
-0.0192,-0.0211,0.9763,2
-0.0175,-0.0211,0.9745,2
-0.0177,-0.0206,0.9747,2
-0.0171,-0.0212,0.9749,2
-0.0178,-0.0216,0.976,2
-0.0144,-0.0221,0.9698,2
-0.0189,-0.0242,0.9755,2
-0.0159,-0.0234,0.9758,2
-0.0145,-0.0201,0.9747,2
-0.0183,-0.0195,0.9761,2
-0.0175,-0.0204,0.9756,2
-0.0172,-0.0208,0.9783,2
-0.0175,-0.0236,0.9757,2
-0.0192,-0.0227,0.9783,2
-0.0171,-0.0219,0.9755,2
-0.0192,-0.0211,0.9758,2
-0.0164,-0.0201,0.975,2
-0.0183,-0.0209,0.9744,2
-0.0177,-0.0212,0.975,2
-0.0183,-0.0217,0.9751,2
-0.0178,-0.0217,0.9761,2
-0.0175,-0.0208,0.9757,2
-0.0179,-0.0201,0.9756,2
-0.0177,-0.021,0.976,2
-0.0186,-0.0214,0.9747,2
-0.017,-0.0208,0.9747,2
-0.0192,-0.0211,0.9756,2
-0.0184,-0.0212,0.9761,2
-0.0176,-0.0214,0.9751,2
-0.0198,-0.0211,0.9763,2
-0.0194,-0.021,0.9761,2
-0.0198,-0.0208,0.9762,2
-0.0188,-0.0214,0.9753,2
-0.019,-0.0201,0.9757,2
-0.0193,-0.0206,0.9745,2
-0.019,-0.0208,0.9756,2
-0.0187,-0.0215,0.9742,2
-0.0182,-0.0215,0.9739,2
-0.0195,-0.0203,0.9744,2
-0.0175,-0.022,0.9755,2
-0.0195,-0.0206,0.9749,2
-0.0164,-0.0212,0.9764,2
-0.0173,-0.0215,0.9739,2
-0.0175,-0.0211,0.9777,2
-0.0181,-0.0219,0.9757,2
-0.0192,-0.0229,0.9766,2
-0.0176,-0.0204,0.9744,2
-0.0173,-0.0221,0.9774,2
-0.0162,-0.0209,0.9749,2
-0.0143,-0.0203,0.9753,2
-0.0165,-0.0212,0.9767,2
-0.0253,-0.0203,0.9814,2
-0.0161,-0.02,0.9763,2
-0.0175,-0.0201,0.9745,2
-0.0201,-0.0219,0.976,2
-0.019,-0.0201,0.9778,2
-0.0159,-0.0215,0.9751,2
-0.0212,-0.0212,0.9767,2
-0.0194,-0.0215,0.9757,2
-0.0162,-0.0203,0.9753,2
-0.0205,-0.0195,0.9766,2
-0.0178,-0.0212,0.9753,2
-0.0186,-0.0203,0.9768,2
-0.0175,-0.0217,0.9756,2
-0.0293,-0.0223,0.9753,2
-0.0184,-0.0225,0.9738,2
-0.0205,-0.0199,0.9768,2
-0.0231,-0.0182,0.9777,2
-0.0188,-0.0168,0.9753,2
-0.0187,-0.0193,0.9752,2
-0.0199,-0.0223,0.9767,2
-0.0206,-0.0243,0.9772,2
-0.0179,-0.0228,0.9752,2
-0.02,-0.02,0.9767,2
-0.0189,-0.0197,0.9763,2
-0.019,-0.0181,0.9764,2
-0.0188,-0.0203,0.976,2
-0.0182,-0.0212,0.9769,2
-0.0219,-0.0214,0.9763,2
-0.0188,-0.021,0.9763,2
-0.0146,-0.0212,0.9777,2
-0.0178,-0.0216,0.9777,2
-0.0154,-0.0226,0.9735,2
-0.0162,-0.021,0.9745,2
-0.016,-0.0211,0.9766,2
-0.0182,-0.0197,0.9766,2
-0.0179,-0.0188,0.9758,2
-0.0157,-0.0192,0.9742,2
-0.0193,-0.0222,0.9749,2
-0.0177,-0.0233,0.9755,2
-0.0179,-0.0211,0.9758,2
-0.0178,-0.021,0.9751,2
-0.0187,-0.0187,0.9764,2
-0.0178,-0.0206,0.9752,2
-0.0173,-0.0216,0.9745,2
-0.0189,-0.0216,0.9742,2
-0.0166,-0.0221,0.9755,2
-0.0182,-0.0201,0.9757,2
-0.0171,-0.0204,0.9751,2
0.0006,-0.0255,0.9681,2
-0.0248,-0.0199,0.9788,2
-0.0132,-0.0208,0.9769,2
-0.0244,-0.017,0.9857,2
-0.0111,-0.0182,0.9729,2
-0.1134,0.0431,1.0103,2
-0.2317,0.1357,1.028,2
-0.2203,0.3328,1.0292,2
-0.3102,0.4302,0.8787,2
-0.2672,0.7871,0.6406,2
-0.1844,0.6833,0.4227,2
-0.3015,0.8022,0.4172,2
-0.2382,0.8947,-0.0602,2
-0.2924,0.8474,-0.4283,2
-0.3967,0.692,-0.8601,2
-0.3015,0.3761,-0.9515,2
-0.3679,0.2579,-1.1465,2
-0.2256,0.2455,-0.9298,2
-0.1873,0.277,-0.9137,2
-0.1228,0.1749,-0.7795,2
-0.1279,0.072,-1.0936,2
-0.1044,0.1008,-1.088,2
-0.1516,0.0758,-0.9342,2
-0.1208,0.0361,-1.0568,2
-0.2294,0.09,-1.035,2
-0.1639,0.0587,-0.9968,2
-0.1504,0.042,-1.1534,2
-0.1295,0.1947,-0.817,2
-0.1583,0.0862,-0.9784,2
-0.1719,0.1062,-1.0271,2
-0.2679,0.1702,-1.0502,2
-0.1991,0.0487,-1.0325,2
-0.1327,0.0198,-1.011,2
-0.1768,0.0305,-1.0109,2
-0.1665,0.0293,-0.9995,2
-0.1973,0.0214,-1.0079,2
-0.1814,0.0149,-1.007,2
-0.1774,0.0686,-1.0081,2
-0.0581,0.0671,-1.026,2
-0.1388,0.0249,-1.0052,2
-0.1947,0.0356,-0.9999,2
-0.1527,0.0077,-1.0433,2
-0.1577,0.0171,-1.0264,2
-0.16,0.0201,-1.0092,2
-0.1609,0.019,-1.0078,2
-0.1605,0.0193,-1.0087,2
-0.161,0.0195,-1.0085,2
-0.1595,0.0187,-1.0076,2
-0.161,0.0189,-1.0104,2
-0.1594,0.02,-1.0044,2
-0.1736,0.0156,-0.9976,2
0.0779,0.1656,-0.9608,2
-0.0688,0.0623,-1.0106,2
-0.0765,0.0723,-1.0031,2
-0.0709,-0.0327,-1.0101,2
-0.0558,-0.0391,-0.9934,2
0.0175,0.0087,-1.069,2
0.0687,0.053,-1.1218,2
-0.0392,0.0631,-1.1036,2
0.0422,0.0168,-0.9016,2
-0.0518,0.1094,-1.0663,2
-0.0166,0.0254,-1.0243,2
-0.0737,-0.0183,-1.0273,2
-0.08,-0.0129,-1.0338,2
-0.0912,-0.0013,-1.0249,2
-0.101,-0.0006,-1.0167,2
-0.1019,-0.0009,-1.0165,2
-0.1027,-0.0005,-1.0159,2
-0.1022,-0.0006,-1.0143,2
-0.1047,0.0002,-1.015,2
-0.1013,-0.0005,-1.0161,2
-0.1027,-0.0004,-1.0164,2
-0.1028,-0.0005,-1.0157,2
-0.1034,-0.0006,-1.0146,2
-0.1022,-0.0006,-1.0148,2
-0.1036,-0.0002,-1.0159,2
-0.1019,0.0001,-1.0156,2
-0.1028,-0.0004,-1.0157,2
-0.1042,-0.0004,-1.0156,2
-0.099,-0.0004,-1.0143,2
-0.1022,-0.0004,-1.0148,2
-0.0996,0.0002,-1.0148,2
-0.1002,-0.0009,-1.0145,2
-0.1022,-0.0011,-1.0162,2
-0.1018,-0.0009,-1.0153,2
-0.1017,0.0012,-1.0148,2
-0.1023,0.0005,-1.0153,2
-0.1031,0.0002,-1.016,2
-0.103,-0.0004,-1.016,2
-0.1036,-0.0007,-1.0148,2
-0.1035,-0.0007,-1.0148,2
-0.1046,-0.001,-1.0157,2
-0.1029,0.0001,-1.0151,2
-0.1034,0.0,-1.0156,2
-0.103,0.0,-1.015,2
-0.1021,-0.0009,-1.0155,2
-0.1033,-0.0007,-1.0145,2
-0.1013,-0.0005,-1.0155,2
-0.0999,0.0,-1.0144,2
-0.1012,0.0001,-1.0154,2
-0.1022,-0.0002,-1.016,2
-0.1006,-0.0004,-1.0133,2
-0.1021,-0.0007,-1.0167,2
-0.103,-0.0005,-1.0148,2
-0.1024,-0.0007,-1.0162,2
-0.1027,-0.0004,-1.0156,2
-0.1046,0.0002,-1.0164,2
-0.1038,-0.0006,-1.0149,2
-0.1029,-0.0016,-1.0155,2
-0.1041,-0.0004,-1.0161,2
-0.1024,-0.0006,-1.0151,2
-0.1035,-0.0005,-1.0151,2
-0.1023,-0.0002,-1.0171,2
-0.1025,-0.0007,-1.0144,2
-0.1016,-0.0005,-1.0164,2
-0.103,-0.0006,-1.0165,2
-0.1017,-0.0009,-1.0161,2
-0.1024,-0.0002,-1.0156,2
-0.1018,-0.0005,-1.0149,2
-0.1012,-0.0004,-1.0159,2
-0.1034,-0.0002,-1.0149,2
-0.1021,-0.0006,-1.0149,2
-0.1025,-0.0007,-1.0139,2
-0.1019,-0.0004,-1.0138,2
-0.1024,0.0,-1.0148,2
-0.1014,-0.0001,-1.016,2
-0.1031,-0.0009,-1.0161,2
-0.1019,-0.001,-1.0151,2
-0.1017,-0.0005,-1.0145,2
-0.1027,-0.0007,-1.0149,2
-0.1024,-0.0007,-1.0157,2
-0.1019,-0.0007,-1.0155,2
-0.1012,-0.0007,-1.0132,2
-0.1035,-0.0006,-1.0155,2
-0.1017,-0.0005,-1.0155,2
-0.1028,-0.0007,-1.015,2
-0.1019,-0.0005,-1.0139,2
-0.1017,-0.0007,-1.0156,2
-0.1033,-0.0009,-1.015,2
-0.1019,-0.0001,-1.0151,2
-0.1022,-0.0006,-1.0139,2
-0.1008,-0.0006,-1.0145,2
-0.1035,-0.0004,-1.0145,2
-0.1017,-0.001,-1.016,2
-0.1029,0.0004,-1.0189,2
-0.1029,-0.0007,-1.0161,2
