x,y,z,label
-0.1021,-0.001,-1.0193,3
-0.1017,-0.0013,-1.0173,3
-0.1017,-0.0005,-1.0166,3
-0.1025,-0.0004,-1.015,3
-0.1007,0.0002,-1.014,3
-0.1008,-0.0017,-1.0574,3
-0.1084,0.0009,-1.019,3
-0.0979,-0.0006,-1.0156,3
-0.1003,-0.0001,-1.0126,3
-0.109,0.0028,-1.0177,3
-0.1018,0.0004,-1.0148,3
-0.1019,-0.0026,-1.0151,3
-0.1051,-0.0013,-1.015,3
-0.1033,-0.0026,-1.0131,3
-0.1008,-0.0004,-1.014,3
-0.1058,0.0015,-1.0155,3
-0.1036,0.0016,-1.0189,3
-0.0974,0.0001,-1.0144,3
-0.1011,-0.001,-1.0149,3
-0.1028,-0.0011,-1.0146,3
-0.1008,-0.0018,-1.014,3
-0.101,-0.0002,-1.0188,3
-0.1011,0.0021,-1.0173,3
-0.0996,0.0009,-1.0162,3
-0.0973,-0.0005,-1.0155,3
-0.101,-0.0007,-1.0155,3
-0.1008,-0.0009,-1.0154,3
-0.1,-0.0017,-1.0161,3
-0.0992,-0.0009,-1.0168,3
-0.1013,0.0,-1.0165,3
-0.0995,0.0,-1.0156,3
-0.1003,-0.0006,-1.015,3
-0.1014,-0.0005,-1.015,3
-0.1006,-0.0006,-1.0162,3
-0.1,-0.0006,-1.0155,3
-0.1008,-0.0004,-1.0162,3
-0.1006,-0.0005,-1.0167,3
-0.1006,-0.0007,-1.0159,3
-0.1014,-0.0007,-1.016,3
-0.1016,-0.0004,-1.0143,3
-0.1013,-0.0005,-1.015,3
-0.1012,-0.0005,-1.0151,3
-0.1012,-0.0006,-1.017,3
-0.1018,-0.0011,-1.0154,3
-0.1005,-0.0006,-1.015,3
-0.1023,-0.0007,-1.015,3
-0.101,-0.0006,-1.0149,3
-0.1018,-0.0005,-1.014,3
-0.1014,-0.0004,-1.0154,3
-0.1017,-0.0005,-1.0144,3
-0.1019,-0.0007,-1.0144,3
-0.1025,-0.0006,-1.0178,3
-0.1012,-0.0009,-1.0151,3
-0.1016,-0.0006,-1.0178,3
-0.1011,-0.0005,-1.0149,3
-0.1014,-0.0001,-1.0148,3
-0.1013,-0.0006,-1.0143,3
-0.1017,-0.001,-1.014,3
-0.1029,-0.0005,-1.0154,3
-0.1036,-0.0004,-1.0154,3
-0.1025,0.0032,-1.0149,3
-0.1024,-0.0012,-1.0159,3
-0.1036,-0.0022,-1.0154,3
-0.1025,-0.0035,-1.014,3
-0.1024,-0.0017,-1.0155,3
-0.1028,0.0002,-1.0154,3
-0.1027,0.0029,-1.0155,3
-0.1014,0.0013,-1.0171,3
-0.1021,-0.001,-1.0157,3
-0.1023,-0.0015,-1.017,3
-0.1022,-0.0023,-1.0165,3
-0.0997,-0.0022,-1.0283,3
-0.0757,0.0172,-0.9929,3
-0.0377,0.0077,-0.9991,3
-0.0504,0.1835,-1.0946,3
-0.0815,0.3387,-1.0695,3
-0.0406,0.4674,-0.9978,3
0.0231,0.7292,-0.6586,3
0.2996,0.8149,-0.3188,3
0.2727,0.7257,-0.1393,3
0.2605,0.877,0.079,3
0.1953,0.7629,0.2911,3
0.151,0.7404,0.5469,3
0.1519,0.7097,0.6492,3
0.0635,0.8082,0.72,3
-0.0126,0.7169,0.6842,3
0.0565,0.6013,0.7139,3
-0.0151,0.6042,0.7074,3
0.0011,0.6656,0.8112,3
-0.067,0.6302,0.7172,3
-0.0605,0.6815,0.7395,3
-0.1174,0.6711,0.7382,3
-0.0593,0.6068,0.7032,3
-0.214,0.5048,0.7045,3
-0.194,0.4036,0.8241,3
-0.2678,0.25,0.9216,3
-0.1896,0.1967,0.8031,3
-0.1821,-0.0372,0.9431,3
-0.381,0.0094,0.8,3
-0.2535,-0.0111,0.9369,3
-0.2222,-0.0284,0.9681,3
-0.2263,-0.0481,0.949,3
-0.1871,-0.0883,1.0006,3
-0.1566,-0.052,1.0297,3
-0.1031,-0.0417,1.0,3
0.0568,-0.0718,0.994,3
-0.1672,-0.0098,0.9674,3
-0.1575,0.1105,0.9829,3
-0.1321,0.1843,0.9469,3
-0.1151,0.1442,0.8104,3
-0.1583,-0.1016,1.0026,3
0.1147,-0.1516,1.2542,3
-0.0007,-0.0081,0.9637,3
0.0223,0.1016,0.9741,3
0.0187,-0.0104,0.9758,3
