x,y,z,label
-0.1021,-0.001,-1.0193,3
-0.1023699999999999,-0.0003949999999999,-1.017475,3
-0.10117,-0.000475,-1.01566,3
-0.1004699999999999,-0.00037,-1.015975,3
-0.1011699999999999,-0.000585,-1.0153199999999998,3
-0.1017299999999999,-0.0004099999999999,-1.01525,3
-0.10221,-0.00055,-1.0156199999999995,3
-0.027705,0.2075049999999999,-0.8688949999999999,3
0.04672,0.554,-0.031965,3
-0.08084,0.4743299999999998,0.74617,3
-0.17137,0.12957,0.901315,3
-0.071925,-0.009455,0.98389,3
-0.00998,-0.013535,0.98774,3
-0.011075,-0.0054149999999999,0.97599,3
-0.01108,-0.00541,0.9757649999999998,3
-0.011355,-0.00569,0.97487,3
-0.014985,-0.2552649999999999,0.7206949999999999,3
-0.02056,-0.754565,0.212885,3
-0.022815,-1.00429,-0.04143,3
-0.02236,-1.00407,-0.04136,3
-0.0223649999999999,-1.00391,-0.041495,3
-0.022925,-1.00399,-0.041555,3
-0.023015,-1.00397,-0.0412499999999999,3
-0.02248,-1.0041300000000004,-0.041405,3
-0.022615,-1.00439,-0.041645,3
-0.02293,-1.00416,-0.041565,3
-0.02289,-1.003975,-0.041525,3
-0.0225599999999999,-1.004155,-0.041395,3
-0.02236,-1.004185,-0.04135,3
-0.02274,-1.00439,-0.0414149999999999,3
-0.023595,-1.00416,-0.04152,3
-0.023705,-1.003495,-0.041365,3
-0.02272,-1.00356,-0.0415,3
-0.02131,-1.004305,-0.041285,3
-0.021465,-1.004795,-0.040825,3
-0.0235,-1.0044350000000002,-0.04127,3
-0.0235949999999999,-1.004305,-0.0413749999999999,3
-0.0222399999999999,-1.00431,-0.0412849999999999,3
-0.02239,-1.00426,-0.041425,3
-0.022965,-1.004365,-0.041625,3
-0.02275,-1.004415,-0.041775,3
-0.02226,-1.004665,-0.0417199999999999,3
-0.02177,-1.004375,-0.04158,3
-0.02175,-1.0037900000000002,-0.0414,3
-0.02213,-1.00407,-0.041385,3
-0.02226,-1.0043200000000003,-0.04124,3
-0.02207,-1.003905,-0.04112,3
-0.02212,-1.003645,-0.041365,3
-0.0221049999999999,-1.003745,-0.041505,3
-0.02182,-1.003965,-0.041295,3
-0.021795,-1.0043,-0.04119,3
-0.02207,-1.00419,-0.04126,3
-0.022705,-1.0039950000000002,-0.041175,3
-0.02296,-1.0042749999999998,-0.041275,3
-0.0223099999999999,-1.0042950000000002,-0.041395,3
-0.0222099999999999,-1.003995,-0.04116,3
-0.02307,-1.003995,-0.04115,3
-0.02342,-1.0042300000000002,-0.041395,3
-0.022735,-1.00423,-0.041305,3
-0.0224349999999999,-1.00394,-0.04112,3
-0.022535,-1.00378,-0.0413549999999999,3
-0.02237,-1.00411,-0.041415,3
-0.0221,-1.004125,-0.041175,3
-0.021965,-1.004045,-0.04108,3
-0.02239,-1.00417,-0.04106,3
-0.02233,-1.0042,-0.04113,3
-0.021855,-1.0041750000000005,-0.04111,3
-0.02188,-1.0039950000000002,-0.041025,3
-0.021725,-1.0040350000000002,-0.041075,3
-0.021855,-1.004045,-0.04117,3
-0.021975,-1.003955,-0.0410849999999999,3
-0.022035,-1.0041949999999995,-0.040925,3
-0.022595,-1.004395,-0.04125,3
-0.022005,-1.0040749999999998,-0.04131,3
-0.020045,-1.003615,-0.041155,3
-0.020205,-1.0035700000000003,-0.041115,3
-0.02107,-1.0037849999999997,-0.04093,3
-0.02064,-1.007005,-0.040865,3
-0.02099,-1.0069099999999995,-0.04118,3
-0.021865,-1.00383,-0.04158,3
-0.02238,-1.0040400000000005,-0.04159,3
-0.022475,-1.003965,-0.0414649999999999,3
-0.0226,-1.00386,-0.04137,3
-0.02258,-1.004055,-0.041425,3
-0.02264,-1.00405,-0.041575,3
-0.02282,-1.003985,-0.041695,3
-0.022895,-1.0040650000000002,-0.041705,3
-0.02311,-1.004115,-0.041535,3
-0.023,-1.00429,-0.0414399999999999,3
-0.022835,-1.00412,-0.04152,3
-0.022815,-1.0040000000000002,-0.0415199999999999,3
-0.022795,-1.004,-0.04146,3
-0.022735,-1.00381,-0.0414799999999999,3
-0.0227999999999999,-1.004,-0.04152,3
-0.02303,-1.0041749999999998,-0.04161,3
-0.022765,-1.00388,-0.04159,3
-0.0232749999999999,-1.00381,-0.0417149999999999,3
-0.023725,-1.003735,-0.04167,3
-0.0233749999999999,-1.00392,-0.0415499999999999,3
-0.023145,-1.0042750000000005,-0.04166,3
-0.023055,-1.004115,-0.04155,3
-0.0227949999999999,-1.003855,-0.041395,3
-0.02292,-1.003815,-0.04163,3
-0.023035,-1.0040250000000002,-0.04187,3
-0.022795,-1.0040600000000002,-0.04193,3
-0.0231399999999999,-1.00393,-0.0418,3
-0.0252449999999999,-1.0046000000000002,-0.041235,3
