x,y,z,label
0.0233,-0.9685,0.2015,3
0.0292,-0.9838,0.2122,3
0.0221,-0.9863,0.2021,3
0.0253,-0.9827,0.2053,3
0.0228,-0.9846,0.1978,3
0.0245,-0.9849,0.2025,3
0.0245,-0.9835,0.2029,3
0.0231,-0.9866,0.1984,3
0.027,-0.9827,0.205,3
0.0237,-0.9861,0.2024,3
0.0233,-0.9851,0.2003,3
0.025,-0.9832,0.2029,3
0.024,-0.9849,0.1987,3
0.0251,-0.9836,0.2036,3
0.0244,-0.9835,0.201,3
0.0249,-0.9845,0.1993,3
0.0245,-0.9845,0.2034,3
0.0227,-0.9855,0.2004,3
0.0247,-0.9832,0.203,3
0.0242,-0.9845,0.2017,3
0.0219,-0.985,0.197,3
0.0251,-0.9806,0.2067,3
0.0231,-0.9878,0.2004,3
0.0326,-1.0114,0.2029,3
0.0277,-0.9768,0.2025,3
0.0227,-0.9769,0.1986,3
0.0249,-0.9862,0.1949,3
0.0231,-0.986,0.2015,3
0.0222,-0.9832,0.193,3
0.027,-0.9813,0.2068,3
0.024,-0.9838,0.2056,3
0.022,-0.9854,0.197,3
0.0265,-0.9814,0.2069,3
0.0233,-0.9849,0.1986,3
0.0247,-0.9839,0.2013,3
0.0255,-0.9834,0.2046,3
0.0222,-0.9851,0.1974,3
0.0251,-0.9823,0.204,3
0.0232,-0.9846,0.1991,3
0.0227,-0.9847,0.2012,3
0.0249,-0.9836,0.2026,3
0.0233,-0.9844,0.1987,3
0.0253,-0.9825,0.2043,3
0.0226,-0.9845,0.1976,3
0.0244,-0.9839,0.2024,3
0.0244,-0.9846,0.203,3
0.0236,-0.9835,0.2004,3
0.0243,-0.9836,0.2031,3
0.0234,-0.9857,0.2,3
0.0222,-0.983,0.1992,3
0.0247,-0.9839,0.2018,3
0.0238,-0.9846,0.2013,3
0.0262,-0.9825,0.2021,3
0.0242,-0.983,0.2017,3
0.024,-0.9843,0.2032,3
0.0231,-0.9847,0.1991,3
0.0255,-0.9828,0.2029,3
0.0278,-0.9816,0.2007,3
0.024,-0.983,0.2059,3
0.0232,-0.9862,0.1979,3
