x,y,z,label
-1.0059,-0.0125,-0.0177,4
-1.01004,-0.01269,-0.017685,4
-1.0103,-0.01224,-0.018185,4
-1.0102000000000002,-0.012225,-0.01912,4
-1.01002,-0.01221,-0.0192899999999999,4
-1.00997,-0.01236,-0.0185,4
-1.0101099999999998,-0.01253,-0.017285,4
-1.009875,-0.01235,-0.016125,4
-1.0098349999999998,-0.01249,-0.016325,4
-1.00976,-0.01266,-0.01688,4
-1.009325,-0.01252,-0.0167949999999999,4
-1.008075,-0.012355,-0.01593,4
-1.0097349999999998,-0.012325,-0.01602,4
-1.011745,-0.0122899999999999,-0.016765,4
-1.01031,-0.01261,-0.01672,4
-1.009765,-0.012785,-0.0167,4
-1.009865,-0.01253,-0.016315,4
-1.01015,-0.0124899999999999,-0.015915,4
-1.01021,-0.01269,-0.0158749999999999,4
-1.009685,-0.01277,-0.0159149999999999,4
-1.0094550000000002,-0.0126349999999999,-0.01596,4
-1.0098650000000002,-0.012525,-0.01599,4
-1.0104000000000002,-0.01236,-0.015985,4
-1.01035,-0.01245,-0.015935,4
-1.00989,-0.01269,-0.01606,4
-1.009985,-0.01272,-0.0162399999999999,4
-1.0102250000000002,-0.012615,-0.016095,4
-1.010285,-0.012575,-0.01625,4
-1.010085,-0.0125599999999999,-0.01639,4
-1.0099550000000002,-0.01257,-0.01641,4
-1.01012,-0.01251,-0.01643,4
-1.01011,-0.012555,-0.016375,4
-1.01006,-0.01268,-0.0165,4
-1.0104349999999998,-0.0127,-0.016285,4
-1.010585,-0.0126199999999999,-0.016095,4
-1.0102,-0.01241,-0.016365,4
-1.00984,-0.012415,-0.01695,4
-1.00961,-0.012375,-0.01727,4
-1.009675,-0.012445,-0.01709,4
-1.009985,-0.0127649999999999,-0.01688,4
-1.01008,-0.01259,-0.0167499999999999,4
-1.0103300000000002,-0.0122599999999999,-0.01695,4
-1.0105,-0.012255,-0.01711,4
-1.01034,-0.012425,-0.01672,4
-1.01015,-0.0125,-0.0164899999999999,4
-1.01018,-0.012375,-0.016605,4
-1.0101650000000002,-0.01246,-0.01664,4
-1.0101149999999997,-0.01258,-0.0166249999999999,4
-1.0102449999999998,-0.012455,-0.01672,4
-1.010325,-0.012335,-0.017045,4
-1.010195,-0.0123549999999999,-0.016995,4
-1.010055,-0.01244,-0.016655,4
-1.010085,-0.012555,-0.0168,4
-1.010145,-0.012425,-0.017025,4
-1.00997,-0.01247,-0.017225,4
-1.00974,-0.012645,-0.01716,4
-1.0099749999999998,-0.0124999999999999,-0.01689,4
-1.01032,-0.01255,-0.016555,4
-1.01071,-0.01259,-0.016555,4
-1.01051,-0.012445,-0.016895,4
-1.009845,-0.01243,-0.01698,4
-1.0096200000000002,-0.0123299999999999,-0.01711,4
-1.0099649999999998,-0.012305,-0.017095,4
