x,y,z,label
-0.0076,-0.0649,-1.0162,4
-0.0063,-0.0657,-1.0161,4
-0.0061,-0.0646,-1.0162,4
-0.0067,-0.0654,-1.0171,4
-0.007,-0.0646,-1.0162,4
-0.007,-0.0649,-1.0164,4
-0.0067,-0.0652,-1.017,4
-0.0072,-0.0647,-1.0179,4
-0.0067,-0.0651,-1.0178,4
-0.0067,-0.0649,-1.0167,4
-0.0063,-0.0663,-1.0168,4
-0.0065,-0.0648,-1.0166,4
-0.0071,-0.0646,-1.0171,4
-0.0068,-0.0647,-1.0179,4
-0.007,-0.0647,-1.0175,4
-0.0066,-0.0632,-1.0164,4
-0.0062,-0.0645,-1.0161,4
-0.0076,-0.0637,-1.0161,4
-0.0063,-0.0642,-1.0171,4
-0.0077,-0.0649,-1.0166,4
-0.0072,-0.0645,-1.016,4
-0.006,-0.0656,-1.0156,4
-0.0062,-0.0647,-1.0161,4
-0.0077,-0.0654,-1.0166,4
-0.0081,-0.0642,-1.0181,4
-0.0076,-0.0649,-1.0166,4
-0.0067,-0.0637,-1.0154,4
-0.0063,-0.0647,-1.0166,4
-0.0082,-0.064,-1.0176,4
-0.0074,-0.0638,-1.017,4
-0.0057,-0.0637,-1.0157,4
-0.0065,-0.0658,-1.0166,4
-0.006,-0.0653,-1.0161,4
-0.0061,-0.0651,-1.0168,4
-0.0068,-0.0646,-1.0156,4
-0.0071,-0.0664,-1.0167,4
-0.0071,-0.0647,-1.0181,4
-0.0066,-0.0659,-1.0166,4
-0.0066,-0.0649,-1.0173,4
-0.0066,-0.0656,-1.0178,4
-0.0066,-0.0651,-1.0179,4
-0.0074,-0.0652,-1.0167,4
-0.0078,-0.0654,-1.0171,4
-0.0079,-0.0652,-1.0181,4
-0.0071,-0.0658,-1.0164,4
-0.0073,-0.0634,-1.0162,4
-0.0072,-0.0658,-1.0162,4
-0.0083,-0.0652,-1.0154,4
-0.0066,-0.064,-1.0164,4
-0.0066,-0.0662,-1.0164,4
-0.0068,-0.0645,-1.017,4
-0.0071,-0.0663,-1.0159,4
-0.0073,-0.0657,-1.0164,4
-0.0073,-0.066,-1.0157,4
-0.007,-0.0647,-1.0144,4
-0.0068,-0.0653,-1.0156,4
-0.007,-0.0648,-1.015,4
-0.0063,-0.0641,-1.016,4
-0.0057,-0.0659,-1.0151,4
-0.0055,-0.0645,-1.0151,4
-0.0072,-0.0662,-1.0178,4
-0.009,-0.064,-1.0165,4
-0.0078,-0.0652,-1.0182,4
-0.0061,-0.0647,-1.0179,4
-0.0057,-0.0659,-1.0151,4
-0.0057,-0.0653,-1.0162,4
-0.0074,-0.0658,-1.0167,4
-0.0077,-0.0651,-1.0168,4
-0.0085,-0.0649,-1.0179,4
-0.006,-0.0653,-1.0154,4
-0.0057,-0.0649,-1.017,4
-0.0066,-0.0656,-1.0176,4
-0.0078,-0.0659,-1.0171,4
-0.0081,-0.064,-1.0159,4
-0.0071,-0.0649,-1.0155,4
-0.0065,-0.0646,-1.017,4
-0.0066,-0.0648,-1.0143,4
-0.0066,-0.0643,-1.0179,4
-0.0076,-0.0651,-1.0159,4
-0.0078,-0.0638,-1.0175,4
-0.0087,-0.0645,-1.0164,4
-0.0068,-0.0658,-1.017,4
-0.006,-0.0651,-1.0164,4
-0.007,-0.0662,-1.0145,4
-0.0061,-0.0647,-1.0151,4
-0.0071,-0.0646,-1.0177,4
-0.0061,-0.0649,-1.0155,4
-0.0063,-0.0654,-1.017,4
-0.0063,-0.0642,-1.0151,4
-0.007,-0.0647,-1.0176,4
-0.007,-0.0652,-1.0156,4
-0.0073,-0.0649,-1.0151,4
-0.0076,-0.0646,-1.0164,4
-0.0061,-0.0658,-1.0182,4
-0.0057,-0.0646,-1.0168,4
-0.0065,-0.0646,-1.0164,4
-0.0072,-0.0645,-1.0161,4
-0.0078,-0.0646,-1.0173,4
-0.0073,-0.0646,-1.0166,4
-0.0076,-0.0649,-1.0164,4
-0.0062,-0.0646,-1.0153,4
-0.0066,-0.064,-1.0153,4
-0.0079,-0.0663,-1.0159,4
-0.0073,-0.064,-1.0164,4
-0.0066,-0.0646,-1.017,4
-0.0074,-0.0656,-1.0168,4
-0.0076,-0.0645,-1.0154,4
-0.0074,-0.0658,-1.0177,4
-0.0066,-0.0643,-1.0172,4
-0.0066,-0.0651,-1.0156,4
-0.0076,-0.0642,-1.0156,4
-0.0074,-0.0652,-1.0155,4
-0.007,-0.0641,-1.0148,4
-0.0076,-0.0652,-1.0167,4
0.0057,-0.0259,-0.9667,4
-0.007,-0.0621,-1.0167,4
-0.007,-0.056,-1.017,4
-0.0079,-0.0537,-1.0217,4
-0.0096,-0.0564,-1.0187,4
-0.0083,-0.0648,-1.0178,4
-0.0066,-0.0615,-1.0189,4
-0.0055,-0.0621,-1.0198,4
-0.0073,-0.0657,-1.0164,4
