x,y,z,label
-0.0076,-0.0649,-1.0162,4
-0.006785,-0.06476,-1.01678,4
-0.006945,-0.064425,-1.016635,4
-0.006795,-0.064905,-1.01674,4
-0.00695,-0.065205,-1.01677,4
-0.00701,-0.06521,-1.0161450000000003,4
-0.00684,-0.0652299999999999,-1.016235,4
-0.00715,-0.06493,-1.0166399999999998,4
-0.006955,-0.064915,-1.01633,4
-0.00675,-0.064925,-1.016305,4
-0.007045,-0.064805,-1.016375,4
-0.0067149999999999,-0.061165,-1.01437,4
-0.006525,-0.060905,-1.014555,4
-0.006645,-0.06497,-1.01667,4
-0.0067599999999999,-0.06576,-1.01658,4
-0.05691,-0.063605,-0.9639,4
-0.5566350000000001,-0.0400849999999999,-0.42763,4
-1.00693,-0.018855,0.055745,4
-1.007165,-0.01878,0.055845,4
-1.00692,-0.01862,0.0565949999999999,4
-1.0068699999999997,-0.018835,0.05658,4
-1.0070000000000003,-0.018925,0.056365,4
-1.00703,-0.018865,0.05644,4
-1.006985,-0.018945,0.0563699999999999,4
-1.0070249999999998,-0.018845,0.05625,4
-1.00678,-0.01896,0.05586,4
-1.0071,-0.018835,0.055465,4
-1.007345,-0.018575,0.055255,4
-1.00697,-0.01877,0.05514,4
-1.0069249999999998,-0.0187,0.055615,4
-1.006895,-0.01837,0.055605,4
-1.00692,-0.01868,0.055185,4
-1.0075150000000002,-0.019045,0.0555199999999999,4
-1.00738,-0.01881,0.0559999999999999,4
-1.006865,-0.018715,0.05615,4
-1.0071800000000002,-0.01892,0.056285,4
-1.0070400000000002,-0.0190699999999999,0.05638,4
-1.0068800000000002,-0.019035,0.056285,4
-1.00714,-0.01892,0.05626,4
-1.0071450000000004,-0.01881,0.05602,4
-1.007295,-0.018715,0.055885,4
-1.0072450000000002,-0.01873,0.0557799999999999,4
-1.00701,-0.018855,0.055275,4
-1.0069600000000003,-0.01883,0.0549749999999999,4
-1.0069750000000002,-0.0186199999999999,0.055015,4
-1.00704,-0.018695,0.054875,4
-1.007215,-0.01885,0.054895,4
-1.007165,-0.018765,0.0548899999999999,4
-1.00686,-0.018715,0.05484,4
-1.007225,-0.0188749999999999,0.05508,4
-1.007335,-0.018875,0.055005,4
-1.00683,-0.0187799999999999,0.0550249999999999,4
-1.00671,-0.0187849999999999,0.05532,4
-1.0068050000000002,-0.01882,0.056035,4
-1.0067700000000002,-0.0188249999999999,0.0565049999999999,4
-1.006725,-0.0189049999999999,0.055915,4
-1.006815,-0.01894,0.0556799999999999,4
-1.007065,-0.018785,0.05581,4
-1.0072900000000002,-0.0187349999999999,0.05581,4
-1.007135,-0.0189599999999999,0.055875,4
-1.006895,-0.018935,0.055975,4
-1.0071949999999998,-0.0186049999999999,0.05602,4
-1.00696,-0.01852,0.0560899999999999,4
-1.00676,-0.018735,0.0560449999999999,4
-1.0069800000000002,-0.018995,0.0565249999999999,4
-1.006695,-0.0187349999999999,0.057025,4
-1.00696,-0.01859,0.0570549999999999,4
-1.00652,-0.018705,0.0576149999999999,4
-1.006285,-0.01859,0.0574349999999999,4
-1.0082749999999998,-0.0185149999999999,0.0566949999999999,4
-1.0077699999999998,-0.018315,0.056715,4
-1.00639,-0.018175,0.0569,4
-1.0071150000000002,-0.01825,0.0571949999999999,4
-1.0072800000000002,-0.0181249999999999,0.0573899999999999,4
-1.0072199999999998,-0.018115,0.0573749999999999,4
-1.007105,-0.0183349999999999,0.057465,4
-1.00709,-0.01834,0.057295,4
-1.006745,-0.0182849999999999,0.0572249999999999,4
-1.006745,-0.018365,0.057205,4
-1.0069,-0.0183799999999999,0.0572299999999999,4
-1.006865,-0.01838,0.057335,4
-1.0070350000000003,-0.018365,0.05722,4
-1.006855,-0.0182799999999999,0.057185,4
-1.00684,-0.018215,0.0572199999999999,4
-1.0069650000000003,-0.0183499999999999,0.0572549999999999,4
-1.0070850000000002,-0.01838,0.0571249999999999,4
-1.0071600000000005,-0.01826,0.057115,4
-1.006915,-0.0184499999999999,0.0571799999999999,4
-1.00676,-0.0184449999999999,0.0571349999999999,4
-1.00693,-0.018355,0.0573,4
-1.0069549999999998,-0.0184,0.0573099999999999,4
-1.007,-0.018345,0.05734,4
-1.007145,-0.018325,0.05738,4
-1.0071950000000005,-0.018395,0.05734,4
-1.007345,-0.018225,0.05734,4
-1.007305,-0.018145,0.057425,4
-1.006935,-0.018465,0.05743,4
-1.00674,-0.0184399999999999,0.05715,4
-1.00707,-0.018405,0.057205,4
-1.0072550000000002,-0.01848,0.05706,4
-1.00703,-0.01839,0.056675,4
-1.0068499999999998,-0.01841,0.0565849999999999,4
-1.006845,-0.018335,0.05628,4
-1.00718,-0.0181749999999999,0.0561099999999999,4
-1.007135,-0.018315,0.056075,4
-1.0069150000000002,-0.0183299999999999,0.056055,4
-1.007085,-0.0182249999999999,0.0559449999999999,4
-1.0071100000000002,-0.0182999999999999,0.055515,4
-1.0068199999999998,-0.018445,0.05547,4
-1.00685,-0.018645,0.056005,4
-1.006725,-0.018705,0.0565199999999999,4
-1.00664,-0.01858,0.056575,4
-1.00705,-0.018535,0.0562,4
-1.007005,-0.01843,0.056135,4
-1.0068900000000005,-0.0184949999999999,0.05604,4
-1.007145,-0.018535,0.05564,4
-1.00696,-0.01849,0.055775,4
-1.00672,-0.018535,0.0560249999999999,4
-1.0067349999999995,-0.018505,0.0563699999999999,4
-1.0066699999999995,-0.0185949999999999,0.056825,4
-1.00677,-0.018525,0.056735,4
-1.0069099999999995,-0.018455,0.0566699999999999,4
-1.0063049999999998,-0.018595,0.056605,4
-1.0062400000000002,-0.018895,0.056565,4
-1.007,-0.018775,0.05682,4
-1.0071600000000005,-0.0186549999999999,0.057055,4
-1.007405,-0.0187099999999999,0.0569549999999999,4
-1.00723,-0.018475,0.05678,4
-1.0071,-0.01851,0.05719,4
-1.0074850000000002,-0.0186549999999999,0.05736,4
-1.007205,-0.01873,0.05726,4
-1.00697,-0.0187349999999999,0.0573049999999999,4
-1.007035,-0.0185949999999999,0.0570199999999999,4
-1.0069,-0.0184949999999999,0.05685,4
-1.007045,-0.0185649999999999,0.057075,4
-1.00669,-0.0187399999999999,0.05701,4
-1.006525,-0.01875,0.05694,4
-1.006935,-0.018705,0.0570649999999999,4
-1.007215,-0.018615,0.057045,4
-1.0070449999999995,-0.018395,0.057125,4
-1.0069899999999998,-0.018475,0.05715,4
-1.00703,-0.01834,0.0567899999999999,4
-1.0069749999999995,-0.01831,0.0566349999999999,4
-1.007295,-0.0185249999999999,0.0567849999999999,4
-1.0071,-0.0184049999999999,0.05696,4
-1.007015,-0.01848,0.057105,4
-1.007095,-0.0184099999999999,0.056855,4
-1.00687,-0.01833,0.05706,4
-1.00675,-0.0184999999999999,0.0571449999999999,4
-1.0068050000000002,-0.018685,0.05694,4
-1.007045,-0.01874,0.056975,4
-1.0071,-0.018615,0.05694,4
-1.00686,-0.01855,0.05721,4
-1.00697,-0.01853,0.05718,4
-1.007075,-0.0184949999999999,0.05704,4
-1.00686,-0.0186649999999999,0.056975,4
-1.006675,-0.0185849999999999,0.0569299999999999,4
-1.0068050000000002,-0.01854,0.056995,4
-1.006725,-0.01868,0.0568499999999999,4
-1.00644,-0.018645,0.056735,4
-1.00691,-0.01849,0.05655,4
-1.0069449999999998,-0.018455,0.05622,4
-1.0067400000000002,-0.01861,0.05633,4
-1.00703,-0.0185549999999999,0.05688,4
-1.006845,-0.0185149999999999,0.0571049999999999,4
-1.0069849999999998,-0.0184299999999999,0.0570599999999999,4
-1.006935,-0.01836,0.0574199999999999,4
-1.006385,-0.018355,0.057555,4
-1.006475,-0.01853,0.05734,4
-1.00692,-0.0185749999999999,0.0574149999999999,4
-1.00688,-0.018455,0.05739,4
-1.006555,-0.01863,0.0571299999999999,4
-1.006835,-0.0187499999999999,0.057235,4
-1.00685,-0.0186,0.0574099999999999,4
-1.0067400000000002,-0.018345,0.0573549999999999,4
-1.00706,-0.018415,0.057355,4
-1.0072199999999998,-0.0183599999999999,0.057035,4
-1.0072,-0.01829,0.057,4
-1.0071450000000002,-0.018645,0.057495,4
-1.00703,-0.018585,0.05766,4
-1.00703,-0.01841,0.05766,4
-1.007025,-0.0184599999999999,0.05756,4
-1.0068750000000004,-0.01853,0.0574999999999999,4
-1.006945,-0.018585,0.057355,4
-1.0068900000000005,-0.0185649999999999,0.05724,4
-1.0068100000000002,-0.018615,0.05727,4
-1.00722,-0.0187099999999999,0.057175,4
-1.007315,-0.018705,0.05705,4
-1.006965,-0.018585,0.05706,4
-1.0068199999999998,-0.01859,0.0575299999999999,4
-1.0068750000000002,-0.0185899999999999,0.057815,4
-1.0069549999999998,-0.018475,0.05798,4
-1.00693,-0.0184149999999999,0.05788,4
-1.006665,-0.0184949999999999,0.0576049999999999,4
-1.00657,-0.018615,0.057645,4
-1.006885,-0.0186349999999999,0.0576799999999999,4
-1.007025,-0.01848,0.057715,4
-1.006985,-0.0184949999999999,0.057775,4
-1.0070449999999995,-0.018615,0.0577049999999999,4
-1.007085,-0.01862,0.05792,4
-1.007315,-0.01838,0.05792,4
-1.0071,-0.018185,0.05762,4
-1.00682,-0.0183949999999999,0.0574799999999999,4
-1.0070450000000002,-0.0185399999999999,0.0573749999999999,4
-1.00702,-0.0185299999999999,0.0576099999999999,4
-1.0070450000000002,-0.0185499999999999,0.05768,4
-1.006965,-0.0186,0.05761,4
-1.0067700000000002,-0.0185,0.05772,4
-1.007035,-0.018525,0.057815,4
-1.00715,-0.018635,0.057675,4
-1.006945,-0.018665,0.057535,4
-1.00702,-0.01862,0.057655,4
-1.00708,-0.018565,0.05771,4
-1.006995,-0.018525,0.057615,4
-1.0068149999999998,-0.01849,0.057535,4
-1.006925,-0.01862,0.0575699999999999,4
-1.0068899999999998,-0.0185299999999999,0.057645,4
-1.00679,-0.01855,0.0574999999999999,4
-1.007005,-0.0187,0.057295,4
-1.006825,-0.01849,0.05752,4
-1.00666,-0.0185299999999999,0.0577349999999999,4
-1.0067049999999995,-0.0186099999999999,0.057755,4
-1.00684,-0.0185,0.057765,4
-1.0069450000000002,-0.01851,0.05749,4
-1.00683,-0.018505,0.057175,4
-1.0069500000000002,-0.0185149999999999,0.057115,4
-1.0069,-0.01851,0.057015,4
-1.006735,-0.0185649999999999,0.057135,4
-1.0068099999999998,-0.01866,0.05736,4
-1.0069349999999997,-0.01863,0.0571799999999999,4
-1.00718,-0.018395,0.0571999999999999,4
-1.007125,-0.01845,0.05716,4
-1.00707,-0.018475,0.0568649999999999,4
-1.00704,-0.018525,0.05668,4
-1.007175,-0.018635,0.0566549999999999,4
-1.007015,-0.0185699999999999,0.05683,4
-1.006555,-0.018715,0.05686,4
-1.0068900000000005,-0.018645,0.05692,4
-1.0070650000000003,-0.0184949999999999,0.0572,4
-1.006965,-0.0185,0.0570949999999999,4
-1.00696,-0.018555,0.0571099999999999,4
-1.0066149999999996,-0.018575,0.05712,4
-1.0066099999999998,-0.01852,0.05716,4
-1.0068799999999998,-0.01857,0.0573699999999999,4
-1.0068499999999998,-0.01854,0.0571949999999999,4
-1.006795,-0.018545,0.05696,4
-1.0069150000000002,-0.01857,0.0567999999999999,4
-1.00727,-0.01851,0.0566799999999999,4
-1.0071800000000002,-0.0186499999999999,0.056755,4
-1.0069149999999998,-0.01857,0.05669,4
-1.00667,-0.0184599999999999,0.056525,4
-1.006625,-0.018545,0.05667,4
-1.007045,-0.018555,0.056815,4
-1.00683,-0.018535,0.056995,4
-1.0064800000000005,-0.01854,0.0569999999999999,4
-1.00663,-0.01873,0.05687,4
-1.006745,-0.018775,0.0569949999999999,4
-1.006725,-0.01866,0.057295,4
-1.006745,-0.018795,0.05749,4
-1.0069,-0.018855,0.05753,4
-1.007235,-0.0186549999999999,0.057625,4
-1.00726,-0.0184699999999999,0.057785,4
-1.00698,-0.01842,0.0577199999999999,4
-1.0069100000000002,-0.018465,0.0577299999999999,4
-1.006925,-0.0184449999999999,0.057465,4
-1.0069500000000002,-0.0183,0.057005,4
-1.0069500000000002,-0.018495,0.05684,4
-1.0067999999999997,-0.018685,0.056545,4
-1.00674,-0.01843,0.05652,4
-1.0068499999999998,-0.018505,0.0570749999999999,4
-1.00689,-0.018705,0.0577049999999999,4
-1.00679,-0.01875,0.05776,4
-1.006965,-0.0186399999999999,0.057615,4
-1.0070400000000002,-0.0184399999999999,0.057535,4
-1.006815,-0.01843,0.05734,4
-1.0069,-0.01843,0.0571,4
-1.00697,-0.0185049999999999,0.05717,4
-1.00698,-0.018555,0.0574399999999999,4
-1.007015,-0.0186,0.05756,4
-1.00688,-0.018565,0.05759,4
-1.0067999999999997,-0.018425,0.05762,4
-1.006875,-0.018595,0.057725,4
-1.0071300000000003,-0.0186199999999999,0.05772,4
-1.007045,-0.01855,0.057885,4
-1.00674,-0.018575,0.0577049999999999,4
-1.006655,-0.01845,0.05746,4
-1.006765,-0.0185249999999999,0.057595,4
-1.00696,-0.0186299999999999,0.057675,4
-1.0066799999999998,-0.018725,0.0577899999999999,4
-1.00659,-0.0186699999999999,0.05805,4
-1.00691,-0.0186,0.058095,4
-1.0068800000000002,-0.018615,0.0577649999999999,4
-1.006765,-0.018605,0.057795,4
-1.006885,-0.0188,0.057995,4
-1.00686,-0.01875,0.058035,4
-1.0069400000000002,-0.018535,0.058105,4
-1.00698,-0.0186299999999999,0.0581,4
-1.0071,-0.0184899999999999,0.0578049999999999,4
-1.00711,-0.018385,0.05735,4
-1.00685,-0.0185649999999999,0.0574099999999999,4
-1.006835,-0.01845,0.0573,4
-1.00692,-0.018535,0.057195,4
-1.0069899999999998,-0.018705,0.05743,4
-1.006815,-0.01859,0.0572299999999999,4
-1.006935,-0.01841,0.05708,4
-1.006875,-0.0183449999999999,0.056905,4
-1.006525,-0.01854,0.05654,4
-1.006805,-0.018605,0.0566049999999999,4
-1.0069900000000005,-0.018665,0.0569399999999999,4
-1.00678,-0.01863,0.0571099999999999,4
-1.006755,-0.018495,0.0574299999999999,4
-1.0068249999999996,-0.018615,0.05744,4
-1.007065,-0.01872,0.0569199999999999,4
-1.0072249999999998,-0.018545,0.0566499999999999,4
-1.006935,-0.0182799999999999,0.0565299999999999,4
-1.007035,-0.01822,0.056315,4
-1.007325,-0.0184049999999999,0.056345,4
-1.00691,-0.018555,0.05634,4
-1.006725,-0.018605,0.05647,4
-1.00685,-0.0188199999999999,0.0568199999999999,4
-1.006855,-0.0187099999999999,0.0570399999999999,4
-1.00712,-0.01847,0.0571049999999999,4
-1.00698,-0.018585,0.0568999999999999,4
-1.0067549999999998,-0.0185849999999999,0.05679,4
-1.006875,-0.01866,0.0567149999999999,4
-1.007005,-0.018745,0.05675,4
-1.007085,-0.01856,0.0569849999999999,4
-1.007055,-0.0185949999999999,0.0569149999999999,4
-1.00702,-0.018575,0.056935,4
-1.0067749999999998,-0.0184849999999999,0.0571,4
-1.00669,-0.0185649999999999,0.0573049999999999,4
-1.0056349999999998,-0.0187849999999999,0.0568899999999999,4
-1.0041950000000002,-0.0191,0.055795,4
-1.0040550000000004,-0.0195949999999999,0.054005,4
-1.006275,-0.01942,0.054325,4
-1.0075299999999998,-0.01894,0.0570249999999999,4
-1.00662,-0.018525,0.058225,4
-1.00659,-0.018275,0.0581099999999999,4
-1.006885,-0.018345,0.057815,4
-1.00732,-0.01851,0.0569999999999999,4
-1.00705,-0.0189599999999999,0.056995,4
-1.006865,-0.018705,0.05715,4
-1.00714,-0.0184399999999999,0.0566799999999999,4
-1.006995,-0.01854,0.057175,4
-1.007,-0.0185649999999999,0.057245,4
-1.007305,-0.018835,0.056325,4
-1.007205,-0.018865,0.056025,4
-1.00679,-0.018655,0.056945,4
-1.0067099999999998,-0.018295,0.0581249999999999,4
-1.005835,-0.0187649999999999,0.05763,4
-1.006265,-0.019015,0.055775,4
-1.0069,-0.01468,0.05239,4
-1.0053800000000002,-0.00361,0.072495,4
-0.997665,0.022145,0.099615,4
-0.9912900000000002,0.038625,0.032935,4
-1.0046,0.016515,-0.0267999999999999,4
